Date/Time,Dew Point Temp (C),Rel Hum (%),Wind Spd (km/h),Pressure_Sea,Pressure_Station,Weather
2012-09-10 16:00:00,5.1,46,20,48.3,101.31,Mostly Cloudy
2012-09-10 17:00:00,4.9,47,20,48.3,101.39,Mostly Cloudy
2012-09-10 18:00:00,4.9,52,17,24.1,101.43,Mostly Cloudy
2012-09-10 19:00:00,4.9,56,9,25.0,101.47,Mainly Clear
2012-09-10 20:00:00,5.7,70,7,25.0,101.54,Clear
2012-09-10 21:00:00,6.0,77,6,25.0,101.55,Clear
2012-09-10 22:00:00,5.9,77,7,25.0,101.56,Clear
2012-09-10 23:00:00,6.4,82,7,25.0,101.56,Clear
2012-08-21 14:00:00,10.9,48,15,48.3,101.18,Mostly Cloudy
2012-08-21 15:00:00,11.4,47,19,48.3,101.15,Mostly Cloudy
2012-01-31 16:00:00,-11.5,76,20,1.0,101.2,Snow
2012-01-31 17:00:00,-11.1,77,19,1.0,101.19,Snow
